Name,State/Territory,Category,Type,Created,Updated
Indiana Michigan Power - Residential Electric Vehicle Charging Rebate,IN,Financial Incentive,Rebate Program,2021-07-17,2023-06-23
Indiana Michigan Power - Charge Point Program,IN,Financial Incentive,Rebate Program,2021-07-17,2023-07-06
AES Indiana - EV Managed Charging Program,IN,Financial Incentive,Rebate Program,2023-10-05,2023-10-05
Duke Energy Indiana - Commercial Charger Rebate,IN,Financial Incentive,Rebate Program,2023-10-05,2023-10-05
Duke Energy Indiana Off-Peak Charging Credit,IN,Financial Incentive,Performance-Based Incentive,2023-10-05,2023-10-05
Volkswagen Environmental Mitigation Trust Program,IN,Financial Incentive,Grant Program,2024-03-21,2024-03-21
Duke Energy Indiana - Electric School Bus Charging,IN,Financial Incentive,Grant Program,2024-03-21,2024-03-21
Indiana - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,IN,Financial Incentive,Grant Program,2024-06-13,2024-06-13
Kansas Solar Easement Laws,KS,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-11-05
Renewable Energy Property Tax Exemption,KS,Financial Incentive,Property Tax Incentive,2000-01-01,2024-10-09
Building Energy Code,KS,Regulatory Policy,Building Energy Code,2006-06-30,2023-06-18
City of Greensburg - Green Building Requirement for New Municipal Buildings,KS,Regulatory Policy,Energy Standards for Public Buildings,2008-01-31,2024-06-21
Midwest Energy (Gas and Electric) - How$mart Energy Efficiency Finance Program,KS,Financial Incentive,Loan Program,2008-12-19,2023-07-11
Kansas City Board of Public Utilities - Commercial Energy Efficiency Rebate Program,KS,Financial Incentive,Rebate Program,2009-03-11,2023-07-11
Renewable Energy Goal,KS,Regulatory Policy,Renewables Portfolio Standard,2009-05-27,2024-11-18
Net Metering,KS,Regulatory Policy,Net Metering,2009-05-29,2024-08-14
Interconnection Guidelines,KS,Regulatory Policy,Interconnection,2009-06-08,2024-05-29
City of Wichita - Solar Contractor Licensing,KS,Regulatory Policy,Solar/Wind Contractor Licensing,2014-11-03,2020-07-18
Energy Efficiency Standards for Public Facilities,KS,Regulatory Policy,Energy Standards for Public Buildings,2014-11-06,2024-07-08
Wichita City - Solar Permitting,KS,Regulatory Policy,Solar/Wind Permitting Standards,2016-11-15,2023-08-16
Kentucky Solar Easements Laws,KY,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-09-22
Net Metering,KY,Regulatory Policy,Net Metering,2004-05-04,2024-08-27
Duke Energy - Residential Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,2006-05-31,2023-06-20
Duke Energy - Non-Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,2006-05-31,2024-08-30
Building Energy Code,KY,Regulatory Policy,Building Energy Code,2006-07-27,2023-06-18
Blue Grass Energy - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,2006-09-08,2024-05-13
Together We Save - Kentucky's Touchstone Energy Cooperatives (16 Cooperatives),KY,Financial Incentive,Rebate Program,2006-09-25,2024-05-03
Owen Electric - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,2006-09-26,2024-05-10
Salt River Electric - Residential Energy Efficiency Rebate Programs,KY,Financial Incentive,Rebate Program,2006-09-27,2024-05-06
South Kentucky RECC - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,2006-09-27,2024-05-06
Tax Exemption for Large-Scale Renewable Energy Projects,KY,Financial Incentive,Sales Tax Incentive,2007-10-08,2023-12-05
Sales Tax Exemption for Manufacturing Facilities,KY,Financial Incentive,Sales Tax Incentive,2007-10-10,2023-12-05
Energy Efficiency Program for State Government Buildings,KY,Regulatory Policy,Energy Standards for Public Buildings,2008-05-13,2024-06-10
Interconnection Standards,KY,Regulatory Policy,Interconnection,2009-01-14,2024-05-30
Taylor County RECC - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,2009-02-11,2023-03-31
Farmers RECC - Heat Pump Retrofit Rebate Program,KY,Financial Incentive,Rebate Program,2009-02-11,2023-04-04
Kentucky Power - Targeted Energy Efficiency Program,KY,Financial Incentive,Rebate Program,2009-09-23,2023-04-04
Kentucky Utilities Company and Louisville Gas & Electric- Commercial Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,2010-02-02,2024-09-12
Energy Efficiency Loans for State Government Agencies,KY,Financial Incentive,Loan Program,2010-02-16,2024-06-14
On-Farm Energy Efficiency Grant Program,KY,Financial Incentive,Grant Program,2010-01-15,2021-04-02
Columbia Gas of Kentucky - Low Income Furnace Replacement Program,KY,Financial Incentive,Rebate Program,2010-05-06,2024-05-06
TVA - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,2015-03-05,2023-10-16
Kentucky PACE Financing,KY,Financial Incentive,PACE Financing,2015-06-22,2024-01-02
City of Louisville - Go Green Loan Program,KY,Financial Incentive,Loan Program,2016-08-17,2021-05-28
TVA - Commercial Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,2020-06-02,2023-10-16
Sales Tax Exemption - Machinery for New and Expanded Industry,KY,Financial Incentive,Sales Tax Incentive,2023-12-05,2023-12-05
Kentucky - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,KY,Financial Incentive,Grant Program,2024-06-13,2024-06-13
Louisville Gas and Electric and Kentucky Utilities – Online Marketplace,KY,Financial Incentive,Rebate Program,2024-09-12,2024-09-12
Louisville Gas and Electric and Kentucky Utilities – WeCare for Homeowners and Renters,KY,Financial Incentive,Rebate Program,2024-09-12,2024-09-12
Louisville Gas and Electric and Kentucky Utilities – WeCare for Apartment Building Owners,KY,Financial Incentive,Rebate Program,2024-09-12,2024-09-12
Louisville Gas and Electric and Kentucky Utilities – Small Business Audit and Direct Install,KY,Financial Incentive,Rebate Program,2024-09-12,2024-09-12
Louisville Gas and Electric and Kentucky Utilities – Bring Your Own Thermostat,KY,Financial Incentive,Rebate Program,2024-10-03,2024-10-03
Louisville Gas and Electric and Kentucky Utilities – Optimized EV Charging,KY,Financial Incentive,Rebate Program,2024-10-03,2024-10-03
Solar Energy System Exemption,LA,Financial Incentive,Property Tax Incentive,2003-02-07,2024-05-22
Net Metering,LA,Regulatory Policy,Net Metering,2003-08-01,2024-01-05
Interconnection Guidelines,LA,Regulatory Policy,Interconnection,2004-05-19,2024-01-14
Cleco Power - Power Miser New Home Program,LA,Financial Incentive,Utility Rate Discount,2006-05-08,2023-08-11
Building Energy Code,LA,Regulatory Policy,Building Energy Code,2006-07-21,2023-06-18
City of New Orleans - Net Metering,LA,Regulatory Policy,Net Metering,2007-04-17,2024-01-05
Energy Reduction in Major State Facilities,LA,Regulatory Policy,Energy Standards for Public Buildings,2007-08-28,2024-06-27
Entergy New Orleans - Residential Energy Efficiency Program,LA,Financial Incentive,Rebate Program,2009-11-06,2024-05-01
Entergy New Orleans - Small and Large Commercial and Industrial Incentives Program,LA,Financial Incentive,Rebate Program,2009-11-09,2023-08-11
Louisiana Solar Rights,LA,Regulatory Policy,Solar/Wind Access Policy,2010-06-30,2023-05-26
Solar Contractor Licensing,LA,Regulatory Policy,Solar/Wind Contractor Licensing,2010-08-11,2024-05-09
Entergy (Louisiana and Gulf States) - Residential Energy Efficiency Program,LA,Financial Incentive,Rebate Program,2015-06-19,2024-04-24
AEP (SWEPCO) - Efficient Products Rebates Program,LA,Financial Incentive,Rebate Program,2015-09-28,2023-08-11
AEP (SWEPCO) - Louisiana Commercial Solutions Standard Offer Program,LA,Financial Incentive,Rebate Program,2015-09-29,2023-08-11
Cleco- Power Wise™ Residential Program,LA,Financial Incentive,Rebate Program,2015-10-22,2023-08-11
Cleco- Power Wise™ Commercial Program,LA,Financial Incentive,Rebate Program,2015-10-22,2023-08-11
New Orleans City - Energy Smart Program,LA,Financial Incentive,Rebate Program,2016-11-10,2022-07-19
Entergy (Louisiana and Gulf States) - eTech Program,LA,Financial Incentive,Rebate Program,2021-07-29,2023-05-24
Louisiana Community Solar - Net Metering and Distributed Generation,LA,Regulatory Policy,Community Solar Rules,2022-06-23,2024-01-05
City of New Orleans - Community Solar Rules,LA,Regulatory Policy,Community Solar Rules,2023-02-15,2024-01-05
City of New Orleans - Renewable and Clean Portfolio Standard,LA,Regulatory Policy,Renewables Portfolio Standard,2023-07-21,2024-01-04
Entergy New Orleans - eTech Program,LA,Financial Incentive,Rebate Program,2024-03-06,2024-03-06
Cleco Power - Commercial EV Rebate,LA,Financial Incentive,Rebate Program,2024-06-05,2024-06-05
Cleco Power - Residential EV Rebate,LA,Financial Incentive,Rebate Program,2024-06-05,2024-06-05
Louisiana - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,LA,Financial Incentive,Grant Program,2024-06-12,2024-06-12
Residential Renewable Energy Income Tax Credit,MA,Financial Incentive,Personal Tax Credit,2000-01-01,2024-02-17
Renewable Energy Equipment Sales Tax Exemption,MA,Financial Incentive,Sales Tax Incentive,2000-01-01,2024-05-22
Renewable Energy Property Tax Exemption,MA,Financial Incentive,Property Tax Incentive,2000-01-01,2024-05-22
Excise Tax Exemption for Solar or Wind Powered Systems,MA,Financial Incentive,Corporate Tax Exemption,2000-01-01,2024-02-14
Excise Tax Deduction for Solar or Wind Powered Systems,MA,Financial Incentive,Corporate Tax Deduction,2000-01-01,2024-02-14
Net Metering,MA,Regulatory Policy,Net Metering,2000-01-01,2024-02-23
Massachusetts Solar Easements & Rights Laws,MA,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-05-26
Renewable Portfolio Standard,MA,Regulatory Policy,Renewables Portfolio Standard,2000-01-01,2024-08-29
Fuel Mix and Emissions Disclosure,MA,Regulatory Policy,Generation Disclosure,2000-01-01,2023-08-09
Renewable Energy Trust Fund,MA,Regulatory Policy,Public Benefits Fund,2000-01-01,2024-01-16
Interconnection Standards,MA,Regulatory Policy,Interconnection,2003-06-19,2024-01-14
Holyoke Gas & Electric - Residential Energy Conservation Loan Program,MA,Financial Incentive,Loan Program,2006-04-12,2024-05-23
Holyoke Gas & Electric - Commercial Energy Conservation Loan Program,MA,Financial Incentive,Loan Program,2006-04-12,2024-05-23
Wakefield Municipal Gas & Light Department - Residential Conservation Services Program,MA,Financial Incentive,Rebate Program,2006-04-14,2023-07-21
Massachusetts Appliance and Equipment Energy Efficiency Standards,MA,Regulatory Policy,Appliance/Equipment Efficiency Standards,2006-06-02,2024-10-31
Chicopee Electric Light Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2006-07-18,2023-07-21
Concord Municipal Light Plant - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2006-07-18,2023-07-21
Concord Municipal Light Plant - Commercial Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2006-07-18,2024-05-23
Mansfield Municipal Electric Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2006-07-19,2023-05-24
Marblehead Municipal Light Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2006-07-19,2024-05-07
Reading Municipal Light Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2006-07-24,2023-04-05
Building Energy Code,MA,Regulatory Policy,Building Energy Code,2006-07-27,2023-01-03
Shrewsbury Electric - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2006-08-04,2024-05-07
Mass Save - HEAT Loan Program,MA,Financial Incentive,Loan Program,2006-09-01,2024-05-23
Energy Efficiency Fund,MA,Regulatory Policy,Public Benefits Fund,2006-09-21,2024-01-17
Massachusetts LEED Plus 2.0 Standard for New Construction,MA,Regulatory Policy,Energy Standards for Public Buildings,2007-05-29,2024-06-20
Model As-of Right Zoning Ordinance or Bylaw: Allowing Use of Wind Energy Facilities,MA,Regulatory Policy,Solar/Wind Permitting Standards,2007-11-02,2023-05-26
Massachusetts Green Power Purchasing Commitment,MA,Regulatory Policy,Green Power Purchasing,2007-04-18,2021-08-30
NextZero - Offered by 21 Utilities through the MMWEC,MA,Financial Incentive,Rebate Program,2009-01-15,2024-05-06
Cape Light Compact - Commercial Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2009-07-08,2023-07-07
Commonwealth Hydropower Program,MA,Financial Incentive,Grant Program,2009-09-17,2024-06-06
Concord Municipal Light Plant - Solar Photovoltaic Rebate Program,MA,Financial Incentive,Rebate Program,2009-08-01,2024-05-23
Model As-of Right Zoning Ordinance or Bylaw: Allowing Use of Large-Scale Solar Energy Facilities,MA,Regulatory Policy,Solar/Wind Permitting Standards,2009-10-01,2023-05-26
Green Communities Grant Program,MA,Financial Incentive,Grant Program,2010-03-20,2024-06-07
Local Option - Energy Revolving Loan Fund,MA,Financial Incentive,PACE Financing,2010-08-10,2024-01-16
MMWEC Green Opportunity Commercial and Industrial Efficiency Program,MA,Financial Incentive,Rebate Program,2010-10-08,2023-08-11
Energy Efficiency First Fuel Requirement (Gas and Electric),MA,Regulatory Policy,Energy Efficiency Resource Standard,2010-12-15,2024-11-01
Residential & Small-Scale Solar Hot Water Program,MA,Financial Incentive,Rebate Program,2011-01-13,2024-02-26
Taunton Municipal Lighting Plant - Residential Energy Star Appliance Rebate Program,MA,Financial Incentive,Rebate Program,2010-08-08,2023-06-23
Reading Municipal Light Department - Business Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2006-07-24,2024-05-23
Reading Municipal Light Department - Residential and Small Commercial Solar Rebate Program,MA,Financial Incentive,Rebate Program,2011-02-07,2024-05-23
Alternative Energy Portfolio Standard,MA,Regulatory Policy,Other Policy,2011-02-09,2023-07-20
MassSAVE (Electric) - Commercial New Construction/Major Renovation Program,MA,Financial Incentive,Rebate Program,2006-09-01,2024-05-23
Gas Networks - Commercial Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2006-09-01,2023-07-21
Mass Save (Electric) - Large Commercial Retrofit Program,MA,Financial Incentive,Rebate Program,2006-09-01,2024-05-08
Mass Save - Residential Energy Efficiency Programs,MA,Financial Incentive,Rebate Program,2006-09-01,2024-04-25
Wellesley Municipal Light Plant - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2011-05-05,2023-07-19
Hudson Light & Power - Photovoltaic Incentive Program,MA,Financial Incentive,Rebate Program,2012-06-04,2024-05-23
Chicopee Electric Light - Commercial Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2006-07-18,2024-11-14
Cape Light Compact- Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,2015-06-03,2024-05-23
Mass Save - Small Business Direct Install Program,MA,Financial Incentive,Rebate Program,2015-10-08,2024-05-08
City of Boston - Green Building Standard,MA,Regulatory Policy,Energy Standards for Public Buildings,2016-09-30,2024-06-18
PACE Massachusetts Financing,MA,Financial Incentive,PACE Financing,2017-05-31,2024-01-15
Solar Massachusetts Renewable Target (SMART) Program,MA,Financial Incentive,Performance-Based Incentive,2019-11-26,2024-07-11
Energy Storage Target,MA,Regulatory Policy,Energy Storage Target,2020-02-26,2023-07-18
MassEVIP Fleets Charging Program,MA,Financial Incentive,Grant Program,2021-06-05,2024-06-06
MassEVIP Workplace and Fleet Charging Program,MA,Financial Incentive,Grant Program,2021-06-05,2024-06-06
MassEVIP Public Access Charging (PAC) Program,MA,Financial Incentive,Grant Program,2021-06-05,2024-06-06
MassEVIP Multi-Unit Dwelling (MUD) and Educational Campus Charging Program,MA,Financial Incentive,Grant Program,2021-06-05,2024-06-06
MassEVIP DC Fast Charging Program,MA,Financial Incentive,Grant Program,2021-06-05,2024-06-06
MOR-EV,MA,Financial Incentive,Rebate Program,2021-06-05,2024-02-26
MOR-EV Trucks Program,MA,Financial Incentive,Rebate Program,2021-06-05,2024-02-26
Braintree Electric Light Department - Bring Your Own Charger Program,MA,Financial Incentive,Rebate Program,2021-08-05,2023-05-24
